ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,"Nitrate, dissolved (mg/L as N)","Nitrite, dissolved (mg/L as N)","Orthophosphate, dissolved (mg/L as P)","Oxygen, dissolved (% saturation)","Oxygen, dissolved (mg/L)","Temperature, water (deg C)",Turbidity (NTU),pH (standard units)
2017-10-10,MWRD_WQX-GW-104W,39.8839,-104.9029,,,,,,15.65,0.0,7.27
2017-10-10,MWRD_WQX-GW-124W,39.9236,-104.8675,,,,,,15.98,4.21,7.38
2017-10-10,MWRD_WQX-GW-160E,39.9875,-104.8313,,,,,,17.17,83.8,7.25
2017-10-10,MWRD_WQX-GW-64W,39.807,-104.9594,,,,,,16.07,2.09,7.13
2017-10-10,MWRD_WQX-GW-88E,39.857,-104.9373,,,,,,17.4,11.06,6.99
2017-10-10,MWRD_WQX-GW-88W,39.857,-104.9383,,,,,,11.56,11.6,6.97
2017-10-11,MWRD_WQX-GW-160W,39.9879,-104.8322,,,,,,15.38,1.38,7.31
2017-10-11,MWRD_WQX-GW-52E,40.0808,-104.8288,,,,,,18.34,5.4,7.29
2017-10-11,MWRD_WQX-GW-66E,40.2053,-104.8272,,,,,,16.53,15.56,7.01
2017-10-11,MWRD_WQX-GW-66W,40.2053,-104.8304,,,,,,17.61,4.17,7.1
2017-10-11,MWRD_WQX-GW-BDCW,40.0695,-104.8327,,,,,,15.71,16.08,7.37
2017-10-11,MWRD_WQX-GW-CR18E,40.1162,-104.8176,,,,,,18.57,0.63,7.23
2017-10-11,MWRD_WQX-GW-CR18W,40.1177,-104.8207,,,,,,18.66,0.55,7.36
2017-10-11,MWRD_WQX-GW-CR28E,40.1883,-104.8284,,,,,,17.98,2.99,7.22
2017-10-11,MWRD_WQX-GW-CR28W,40.1879,-104.8302,,,,,,17.71,0.38,7.34
2017-10-11,MWRD_WQX-GW-CR32.5E,40.2252,-104.8489,,,,,,13.89,6.51,7.23
2018-02-05,MWRD_WQX-GW-66E,40.2053,-104.8272,,,,,,10.46,0.0,6.98
2018-02-05,MWRD_WQX-GW-66W,40.2053,-104.8304,,,,,,9.36,29.3,7.45
2018-02-05,MWRD_WQX-GW-CR18W,40.1177,-104.8207,,,,,,8.43,0.0,7.35
2018-02-05,MWRD_WQX-GW-CR28E,40.1883,-104.8284,,,,,,10.28,0.0,7.14
2018-02-05,MWRD_WQX-GW-CR28W,40.1879,-104.8302,,,,,,10.93,0.0,7.38
2018-02-05,MWRD_WQX-GW-CR32.5E,40.2252,-104.8489,,,,,,11.61,0.0,7.36
2018-02-06,MWRD_WQX-GW-124W,39.9236,-104.8675,,,,,,11.76,0.0,6.78
2018-02-06,MWRD_WQX-GW-160E,39.9875,-104.8313,,,,,,13.01,0.0,7.02
2018-02-06,MWRD_WQX-GW-160W,39.9879,-104.8322,,,,,,10.73,0.0,6.96
2018-02-06,MWRD_WQX-GW-52E,40.0808,-104.8288,,,,,,6.72,0.0,7.23
2018-02-06,MWRD_WQX-GW-BDCW,40.0695,-104.8327,,,,,,3.55,0.0,6.77
2018-02-06,MWRD_WQX-GW-CR18E,40.1162,-104.8176,,,,,,9.66,0.0,7.29
2018-02-07,MWRD_WQX-GW-104W,39.8839,-104.9029,,,,,,10.72,0.0,7.14
2018-02-07,MWRD_WQX-GW-64W,39.807,-104.9594,,,,,,13.23,0.0,6.89
2018-02-07,MWRD_WQX-GW-88E,39.857,-104.9373,,,,,,14.41,0.0,7.06
2018-02-07,MWRD_WQX-GW-88W,39.857,-104.9383,,,,,,12.45,2.0,7.23
2018-05-14,MWRD_WQX-GW-104W,39.8839,-104.9029,,,,,,10.83,3.1,7.16
2018-05-14,MWRD_WQX-GW-124W,39.9236,-104.8675,,,,,,12.69,0.0,7.05
2018-05-14,MWRD_WQX-GW-64W,39.807,-104.9594,,,,,,15.21,0.0,7.14
2018-05-15,MWRD_WQX-GW-160W,39.9879,-104.8322,,,,,,13.31,0.0,6.96
2018-05-15,MWRD_WQX-GW-66E,40.2053,-104.8272,,,,,,12.18,0.02,7.18
2018-05-15,MWRD_WQX-GW-66W,40.2053,-104.8304,,,,,,12.24,7.54,7.6
2018-05-15,MWRD_WQX-GW-76E,39.8259,-104.9485,,,,,,12.49,53.1,7.82
2018-05-15,MWRD_WQX-GW-88E,39.857,-104.9373,,,,,,13.17,0.1,7.03
2018-05-15,MWRD_WQX-GW-88W,39.857,-104.9383,,,,,,12.93,21.0,6.82
