SiteID,Latitude,Longitude
MWRD_WQX-GW-104W,39.8839,-104.9029
MWRD_WQX-GW-124W,39.9236,-104.8675
MWRD_WQX-GW-160E,39.9875,-104.8313
MWRD_WQX-GW-160W,39.9879,-104.8322
MWRD_WQX-GW-52E,40.0808,-104.8288
MWRD_WQX-GW-52W,40.0823,-104.8217
MWRD_WQX-GW-64W,39.807,-104.9594
MWRD_WQX-GW-66E,40.2053,-104.8272
MWRD_WQX-GW-66W,40.2053,-104.8304
MWRD_WQX-GW-76E,39.8259,-104.9485
MWRD_WQX-GW-88E,39.857,-104.9373
MWRD_WQX-GW-88W,39.857,-104.9383
MWRD_WQX-GW-BDCW,40.0695,-104.8327
MWRD_WQX-GW-CR18E,40.1162,-104.8176
MWRD_WQX-GW-CR18W,40.1177,-104.8207
MWRD_WQX-GW-CR28E,40.1883,-104.8284
MWRD_WQX-GW-CR28W,40.1879,-104.8302
MWRD_WQX-GW-CR32.5E,40.2252,-104.8489
MWRD_WQX-GW-CR32.5W,40.222,-104.8517
MWRD_WQX-GW-CR8E,40.0436,-104.8236
MWRD_WQX-GW-MRE,39.874,-104.9112
MWRD_WQX-GW-MRW,39.8748,-104.9106
USGS-390534104465501,39.0928611,-104.7821667
USGS-390716104470801,39.12119444,-104.7856667
USGS-390717104400401,39.1216111,-104.6678333
USGS-391545104335401,39.26263889,-104.5651667
USGS-391605104475001,39.26830556,-104.7974444
USGS-391606104392701,39.2685833,-104.65775
USGS-391852104391301,39.3146,-104.6536
USGS-392118104362301,39.35502778,-104.6066389
USGS-392119104362401,39.35527778,-104.6067222
USGS-392131104351701,39.3587472,-104.5882028
USGS-392146104483301,39.36288889,-104.8091667
USGS-392210104482901,39.3697222,-104.8083056
USGS-392339104482601,39.3943333,-104.8072778
USGS-392559104415201,39.4330833,-104.6977778
USGS-392643104520001,39.44541667,-104.8667778
USGS-392658104442801,39.44963889,-104.7411111
USGS-392724104455701,39.45669444,-104.7660833
USGS-392727104385201,39.45775,-104.6477778
USGS-392741104343101,39.4616111,-104.5753056
USGS-392750104445801,39.4639722,-104.7494444
USGS-393003104450001,39.50102778,-104.7499722
USGS-393004104481401,39.50113889,-104.804
USGS-393057104441101,39.51591667,-104.7365833
USGS-393125104433701,39.5236111,-104.7271111
USGS-393138104454101,39.52725,-104.7614444
USGS-393138104471901,39.52744444,-104.7888056
USGS-393146104482901,39.52952778,-104.8082222
USGS-393227104343401,39.5409083,-104.5762417
USGS-393227104490101,39.54080556,-104.8171667
USGS-393227104493001,39.5408333,-104.825
USGS-393300104411901,39.55019444,-104.6887222
USGS-393304104444201,39.5511111,-104.74525
USGS-393528104460501,39.59119444,-104.7681111
USGS-393549104492301,39.59702778,-104.8232222
USGS-393640104433701,39.6112222,-104.7269444
USGS-393654104472001,39.61519444,-104.7891111
USGS-393655104441901,39.61541667,-104.7387222
USGS-393655104463001,39.6153333,-104.7751389
USGS-393700104454101,39.61669444,-104.7614167
USGS-393726104474101,39.624,-104.7948889
USGS-393733104465101,39.62594444,-104.7809444
USGS-393742104453801,39.62838889,-104.7606389
USGS-393747104493501,39.6299722,-104.8265833
USGS-393750104415901,39.63055556,-104.6997222
USGS-393823104455801,39.64005556,-104.7661111
USGS-393836104474701,39.6434722,-104.7966111
USGS-393837104450101,39.6438611,-104.7505556
USGS-393846104465601,39.64630556,-104.7822778
USGS-393858104465701,39.64944444,-104.7825
USGS-393903104455701,39.651,-104.766
USGS-393903104480701,39.6508333,-104.8019444
USGS-393937104463901,39.66027778,-104.7775
USGS-393939104453701,39.6608333,-104.7602778
USGS-393947104473801,39.66313889,-104.7940278
USGS-394002104483001,39.6672222,-104.8083333
USGS-394007104465001,39.6686111,-104.7805556
USGS-394040104465701,39.67777778,-104.7825
USGS-394052104480001,39.6811111,-104.8
USGS-394055104480001,39.68194444,-104.8
USGS-394058104312101,39.68302778,-104.52275
USGS-394115104481501,39.6875,-104.8041667
USGS-394124104481802,39.69,-104.805
USGS-394134104305701,39.69294444,-104.5158611
USGS-394155104425401,39.69877778,-104.7151389
USGS-394243104481701,39.71194444,-104.8047222
USGS-394304104483301,39.71777778,-104.8091667
USGS-394304104483801,39.71777778,-104.8105556
USGS-394305104482301,39.71805556,-104.8063889
USGS-394305104482601,39.71805556,-104.8072222
USGS-394310104393401,39.7195,-104.6595
USGS-394323104485801,39.72305556,-104.8161111
USGS-394339104313601,39.72763889,-104.5268889
USGS-394346104442601,39.72955556,-104.74075
USGS-394351104302901,39.73091667,-104.5080833
USGS-394434104453601,39.74277778,-104.76
USGS-394456104503501,39.74888889,-104.8430556
USGS-394520104500001,39.75555556,-104.8333333
USGS-394522104495801,39.7561111,-104.8327778
USGS-394525104495401,39.75694444,-104.8316667
USGS-394530104283901,39.7585,-104.4776389
USGS-394539104305901,39.76091667,-104.5165278
USGS-394614104270701,39.7706111,-104.4520556
USGS-394731104260001,39.79216667,-104.4334444
USGS-394746104301901,39.79627778,-104.5054444
USGS-394838104255301,39.81077778,-104.4316111
USGS-394838104310001,39.8107222,-104.5168611
USGS-394858104345901,39.81616667,-104.5831111
USGS-394919104291001,39.82219444,-104.48625
USGS-394933104304101,39.82591667,-104.5115
USGS-394947104335201,39.82988889,-104.5646944
USGS-394953104244601,39.8315,-104.4128611
USGS-394956104274101,39.83244444,-104.4616111
USGS-395115104234401,39.8543333,-104.3956389
USGS-395119104321001,39.8553333,-104.5363333
USGS-395149104260701,39.86380556,-104.4354722
USGS-395201104274001,39.8671111,-104.4613611
USGS-395208104310201,39.8689722,-104.5172778
USGS-395211104351601,39.8698611,-104.588
USGS-395253105045701,39.8814722,-105.0826944
USGS-395300104253301,39.88344444,-104.4260833
USGS-395316104262201,39.88791667,-104.4396944
USGS-395324104234301,39.89002778,-104.3952778
USGS-395324104281401,39.8900833,-104.47075
USGS-395352104302801,39.8978611,-104.5079444
USGS-395408104335301,39.9023611,-104.5648611
USGS-395443104275901,39.91216667,-104.4664722
USGS-395450104402701,39.9141111,-104.6743889
USGS-395540104353601,39.9278611,-104.5935
USGS-395541104385701,39.9281111,-104.6494167
USGS-395841104510901,39.97805556,-104.8527222
USGS-395909104350401,39.98602778,-104.5845556
USGS-395911104505901,39.9864722,-104.84975
USGS-400111104354501,40.0198611,-104.5958333
USGS-400202104335801,40.03394444,-104.5663333
USGS-400208104445401,40.03566667,-104.7485278
USGS-400237104500301,40.04360556,-104.823575
USGS-400607104503901,40.1020833,-104.84425
USGS-400711104481801,40.1199583,-104.8045889
USGS-401449104064801,40.246775,-104.1127833
USGS-401630104462902,40.27498219,-104.7752472
USGS-401630104462903,40.27498219,-104.7752472
USGS-401750104143101,40.2970361,-104.2419306
USGS-401841104464401,40.31137085,-104.7794138
USGS-401841104464601,40.31137085,-104.7799694
USGS-401841104464602,40.31137085,-104.7799694
USGS-401841104464603,40.31137085,-104.7799694
USGS-401844104450102,40.31220395,-104.7508015
USGS-401844104450103,40.31220395,-104.7508015
USGS-401844104450106,40.31220395,-104.7508015
USGS-402006104465301,40.3349818,-104.7819137
USGS-402006104465302,40.3349818,-104.7819137
USGS-402014104465901,40.33744444,-104.7833056
USGS-402018103571801,40.33863889,-103.9552389
